GEO,quarter,VALUE
Quebec,2018-Q2,21122880
Quebec,2018-Q3,20662026
Quebec,2018-Q4,20911137
Quebec,2019-Q1,21325071
Quebec,2019-Q2,21278224
Quebec,2019-Q3,21525431
Quebec,2019-Q4,21918485
Quebec,2020-Q1,16975989
Quebec,2020-Q2,770558
Quebec,2020-Q3,1251816
Quebec,2020-Q4,1891257
Quebec,2021-Q1,1679672
Quebec,2021-Q2,1436234
Quebec,2021-Q3,3623763
Quebec,2021-Q4,7956105
Quebec,2022-Q1,7757738
Quebec,2022-Q2,14111812
Quebec,2022-Q3,16815828
Quebec,2022-Q4,19709580
Quebec,2023-Q1,20563285
Quebec,2023-Q2,19734910
Quebec,2023-Q3,20435184
Quebec,2023-Q4,22330980
Quebec,2024-Q1,22651338
Quebec,2024-Q2,7606411
Saskatchewan,2010-Q1,1183434
Saskatchewan,2010-Q2,1283956
Saskatchewan,2010-Q3,1319116
Saskatchewan,2010-Q4,1283721
Saskatchewan,2011-Q1,1236029
Saskatchewan,2011-Q2,1307585
Saskatchewan,2011-Q3,1233486
Saskatchewan,2011-Q4,1334157
Saskatchewan,2012-Q1,1402621
Saskatchewan,2012-Q2,1371332
Saskatchewan,2012-Q3,1394957
Saskatchewan,2012-Q4,1355508
Saskatchewan,2013-Q1,1361414
Saskatchewan,2013-Q2,1404360
Saskatchewan,2013-Q3,1404210
Saskatchewan,2013-Q4,1406460
Saskatchewan,2014-Q1,1401353
Saskatchewan,2014-Q2,1418383
Saskatchewan,2014-Q3,1430721
Saskatchewan,2014-Q4,1360016
Saskatchewan,2015-Q1,1248493
Saskatchewan,2015-Q2,1165974
Saskatchewan,2015-Q3,1104847
Saskatchewan,2015-Q4,1084148
Saskatchewan,2016-Q1,1104603
Saskatchewan,2016-Q2,1065849
Saskatchewan,2016-Q3,1008497
Saskatchewan,2016-Q4,1027313
Saskatchewan,2017-Q1,1026520
Saskatchewan,2017-Q2,1003073
Saskatchewan,2017-Q3,1035856
Saskatchewan,2017-Q4,1046352
Saskatchewan,2018-Q1,1042388
Saskatchewan,2018-Q2,1046644
Saskatchewan,2018-Q3,1020297
Saskatchewan,2018-Q4,1026304
Saskatchewan,2019-Q1,1052487
Saskatchewan,2019-Q2,1033557
Saskatchewan,2019-Q3,1038726
Saskatchewan,2019-Q4,980947
Saskatchewan,2020-Q1,1071117
Saskatchewan,2020-Q2,123933
Saskatchewan,2020-Q3,125473
Saskatchewan,2020-Q4,122983
Saskatchewan,2021-Q1,130415
Saskatchewan,2021-Q2,153760
Saskatchewan,2021-Q3,178288
Saskatchewan,2021-Q4,262429
Saskatchewan,2022-Q1,252937
Saskatchewan,2022-Q2,508853
Saskatchewan,2022-Q3,561709
Saskatchewan,2022-Q4,639346
Saskatchewan,2023-Q1,667671
Saskatchewan,2023-Q2,785306
